"I";"B";"C";"A";"E";"D";"H";"L";"J";"N";"M";"metric"
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;0;0;0;0;0;0;0;0;0;0;8,67
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
1;1;0;0;0;0;0;0;0;0;0;6,93
